"A00";"Холера";;;;;;;"3";;;
"A00.0";"Холера, предизвикана от холерен вибрион 01, биовар cholerae";;;;;;;"4";;;
"A00.1";"Холера, предизвикана от холерен вибрион 01, биовар eltor";;;;;;;"4";;;
"A00.9";"Холера, неуточнена";;;;;;;"4";;;
"A01";"Тиф и паратиф";;;;;;;"3";;;
"A01.0";"Коремен тиф";;;;;;;"4";;;
"A01.1";"Паратиф А";;;;;;;"4";;;
"A01.2";"Паратиф В";;;;;;;"4";;;
"A01.3";"Паратиф С";;;;;;;"4";;;
"A01.4";"Паратиф, неуточнен";;;;;;;"4";;;
"A02";"Други салмонелозни инфекции";;;;;;;"3";;;
"A02.0";"Салмонелозен ентерит";;;;;;;"4";;;
"A02.1";"Салмонелозна септицемия";;;;;;;"4";;;
"A02.2";"Локализирана салмонелозна инфекция";;;;;;;"4";;;
"A02.8";"Друга уточнена салмонелозна инфекция";;;;;;;"4";;;
"A02.9";"Салмонелозна инфекция, неуточнена";;;;;;;"4";;;
"A03";"Шигелоза";;;;;;;"3";;;
"A03.0";"Шигелоза, предизвикана от Shigella dysenteriae";;;;;;;"4";;;
"A03.1";"Шигелоза, предизвикана от Shigella flexneri";;;;;;;"4";;;
"A03.2";"Шигелоза, предизвикана от Shigella boydii";;;;;;;"4";;;
"A03.3";"Шигелоза, предизвикана от Shigella sonnei";;;;;;;"4";;;
"A03.8";"Друга шигелоза";;;;;;;"4";;;
"A03.9";"Шигелоза, неуточнена";;;;;;;"4";;;
"A04";"Други бактериални чревни инфекции";;;;;;;"3";;;
"A04.0";"Ентеропатогенна инфекция, предизвикана от Escherichia coli";;;;;;;"4";;;
"A04.1";"Ентеротоксигенна инфекция, предизвикана от Escherichia coli";;;;;;;"4";;;
"A04.2";"Ентероинвазивна инфекция, предизвикана от Escherichia coli";;;;;;;"4";;;
"A04.3";"Ентерохеморагична инфекция, предизвикана от Escherichia coli";;;;;;;"4";;;
"A04.4";"Други чревни инфекции, предизвикани от Escherichia coli";;;;;;;"4";;;
"A04.5";"Ентерит, предизвикан от Campylobacter";;;;;;;"4";;;
"A04.6";"Ентерит, предизвикан от Yersinia enterocolitica";;;;;;;"4";;;
"A04.7";"Ентероколит, предизвикан от Clostridium difficile";;;;;;;"4";;;
"A04.8";"Други уточнени бактериални чревни инфекции";;;;;;;"4";;;
"A04.9";"Бактериална чревна инфекция, неуточнена";;;;;;;"4";;;
"A05";"Други бактериални хранителни отравяния";;;;;;;"3";;;
"A05.0";"Стафилококово хранително отравяне";;;;;;;"4";;;
"A05.1";"Ботулизъм";;;;;;;"4";;;
"A05.2";"Хранително отравяне, предизвикано от Clostridium perfringens [Clostridium welchii]";;;;;;;"4";;;
"A05.3";"Хранително отравяне, предизвикано от Vibrio parahaemolyticus";;;;;;;"4";;;
"A05.4";"Хранително отравяне, предизвикано от Bacillus cereus";;;;;;;"4";;;
"A05.8";"Други уточнени бактериални хранителни отравяния";;;;;;;"4";;;
"A05.9";"Бактериално хранително отравяне, неуточнено";;;;;;;"4";;;
"A06";"Амебиаза";;;;;;;"3";;;
"A06.0";"Остра амебна дизентерия";;;;;;;"4";;;
"A06.1";"Хронична чревна амебиаза";;;;;;;"4";;;
"A06.2";"Амебен недизентериен колит";;;;;;;"4";;;
"A06.3";"Амебом на чревния тракт";;;;;;;"4";;;
"A06.4";"Амебен абсцес на черния дроб";;;;;;;"4";;;
"A06.5";"Амебен абсцес на белия дроб (J99.8*)";;;;;;;"4";;;
"A06.6";"Амебен абсцес на главния мозък (G07*)";;;;;;;"4";;;
"A06.7";"Кожна амебиаза";;;;;;;"4";;;
"A06.8";"Амебна инфекция с друга локализация";;;;;;;"4";;;
"A06.9";"Амебиаза, неуточнена";;;;;;;"4";;;
"A07";"Други протозойни чревни болести";;;;;;;"3";;;
"A07.0";"Балантидиаза";;;;;;;"4";;;
"A07.1";"Жиардиаза [ламблиаза]";;;;;;;"4";;;
"A07.2";"Криптоспоридиоза";;;;;;;"4";;;
"A07.3";"Изоспороза";;;;;;;"4";;;
"A07.8";"Други уточнени протозойни чревни болести";;;;;;;"4";;;
"A07.9";"Протозойна чревна болест, неуточнена";;;;;;;"4";;;
"A08";"Вирусни и други уточнени чревни инфекции";;;;;;;"3";;;
"A08.0";"Ротавирусен ентерит";;;;;;;"4";;;
"A08.1";"Остра гастроентеропатия, предизвикана от Norwalk вирус";;;;;;;"4";;;
"A08.2";"Аденовирусен ентерит";;;;;;;"4";;;
"A08.3";"Други вирусни ентерити";;;;;;;"4";;;
"A08.4";"Вирусна чревна инфекция, неуточнена";;;;;;;"4";;;
"A08.5";"Други уточнени чревни инфекции";;;;;;;"4";;;
"A09";"Диария и гастроентерит с предполагаем инфекциозен произход";;;;;;;"3";;;
"A15";"Туберкулоза на дихателните органи,  потвърдена бактериологично  и хистологично";;;;;;;"3";;;
"A15.0";"Туберкулоза на белите дробове, потвърдена бактериоскопично с наличие или отсъствие на културелен растеж";;;;;;;"4";;;
"A15.1";"Туберкулоза на белите дробове, потвърдена само с културелен растеж";;;;;;;"4";;;
"A15.2";"Туберкулоза на белите дробове, потвърдена хистологично";;;;;;;"4";;;
"A15.3";"Туберкулоза на белите дробове, потвърдена с неуточнени методи";;;;;;;"4";;;
"A15.4";"Туберкулоза на интраторакалните лимфни възли, потвърдена бактериологично и хистологично";;;;;;;"4";;;
"A15.5";"Туберкулоза на ларинкса, трахеята и бронхите, потвърдена бактериологично и хистологично";;;;;;;"4";;;
"A15.6";"Туберкулозен плеврит, потвърден бактериологично и хистологично";;;;;;;"4";;;
"A15.7";"Първична туберкулоза на дихателните органи, потвърдена бактериологично и хистологично";;;;;;;"4";;;
"A15.8";"Туберкулоза на други дихателни органи, потвърдена бактериологично и хистологично";;;;;;;"4";;;
"A15.9";"Туберкулоза на дихателни органи с неуточнена локализация, потвърдена бактериологично и хистологично";;;;;;;"4";;;
"A16";"Туберкулоза на дихателните органи,  непотвърдена бактериологично  или хистологично";;;;;;;"3";;;
"A16.0";"Туберкулоза на белите дробове с отрицателни бактериологични и хистологични изследвания";;;;;;;"4";;;
"A16.1";"Туберкулоза на белите дробове без провеждане на бактериологични и хистологични изследвания";;;;;;;"4";;;
"A16.2";"Туберкулоза на белите дробове без указание за бактериологично или хистологично потвърждаване";;;;;;;"4";;;
"A16.3";"Туберкулоза на интраторакалните лимфни възли, без указание за бактериологично или хистологично потвърждаване";;;;;;;"4";;;
"A16.4";"Туберкулоза на ларинкса, трахеята и бронхите, без указание за бактериологично или хистологично потвърждаване";;;;;;;"4";;;
"A16.5";"Туберкулозен плеврит, без указание за бактериологично или хистологично потвърждаване";;;;;;;"4";;;
"A16.7";"Първична туберкулоза на дихателните органи, без указание за бактериологично или хистологично потвърждаване";;;;;;;"4";;;
"A16.8";"Туберкулоза на други дихателни органи, без указание за бактериологично или хистологично потвърждаване";;;;;;;"4";;;
