"!00.-";"Non specifiata";;;;;"BEZ DIJAGNOZE";;"3";;;
"A00.-";"Cholera";;;;;"Kolera";;"3";;;
"A00.0";"Cholera classica";;;;;"Kolera, uzroènik Vibrio cholerae  01,biotip cholerae";;"4";;;
"A00.1";"Cholera El Tor";;;;;"Kolera, uzroènik Vibrio cholerae  01,biotip El Tor";;"4";;;
"A00.9";"Cholera, non specificata";;;;;"Kolera, neozaèena";;"4";;;
"A01.-";"Febris typhica et febris paratyphica";;;;;"Tifusna groznica i paratifusna groznica";;"3";;;
"A01.0";"Typhus abdominalis";;;;;"Trbu¹ni tifus";;"4";;;
"A01.1";"Paratyphus A";;;;;"Paratifus A";;"4";;;
"A01.2";"Paratyphus B";;;;;"Paratifus B";;"4";;;
"A01.3";"Paratyphus C";;;;;"Paratifus C";;"4";;;
"A01.4";"Paratyphus, non specificatus";;;;;"Paratifus, neoznaèen";;"4";;;
"A02.-";"Salmonelloses aliae";;;;;"Druge infekcije uzrokovane salmonelama";;"3";;;
"A02.0";"Enteritis salmonellosa";;;;;"Zapaljenje tankog creva uzrokovano salmonelama";;"4";;;
"A02.1";"Salmonellosis septica";;;;;"Sepsa uzrokovana salmonelama";;"4";;;
"A02.2+";"Infectio per salmonellam localisata";;;;;"Lokalizovana infekcija salmonelama";;"4";;;
"A02.8";"Infectio per salmonellam alia, specificata";;;;;"Druga oznaèena infekcija salmonelama";;"4";;;
"A02.9";"Infectio per salmonellam, non specificata";;;;;"Salmonelozna infekcija, neoznaèena";;"4";;;
"A03.-";"Shigellosis";;;;;"Dizenterija, uzroènik Shigellae";;"3";;;
"A03.0";"Dysenteria bacillaris per Shigellam dysenteriae";;;;;"Dizenterija, uzroènik Shigella dysenteriae";;"4";;;
"A03.1";"Dysenteria bacillaris per Shigellam flexneri";;;;;"Dizenterija, uzroènik Shigell flexneri";;"4";;;
"A03.2";"Dysenteria bacillaris per Shigellam boydi";;;;;"Dizenterija, uzroènik Shigella boydi";;"4";;;
"A03.3";"Dysenteria bacillaris per Shigellam sonnei";;;;;"Dizenterija,uzroènik Shigella sonnei Shigellosis D";;"4";;;
"A03.8";"Shigellosis alia";;;;;"Druga dizenterija";;"4";;;
"A03.9";"Shigellosis, non specifiata";;;;;"Dizenterija, neoznaèena";;"4";;;
"A04.-";"Infectiones intestinales bacteriales aliae";;;;;"Druge infekcije creva uzrokovane bakterijama";;"3";;;
"A04.0";"Infectio intestinalis per Escherichiam coli enteropathogenem";;;;;"Infekcija creva,uzroènik enteropatogena Escherichia coli";;"4";;;
"A04.1";"Infectio intestinalis per Escherichiam coli enterotoxigenem";;;;;"Infekcija creva,uzroènik enterotoksigena Escherichia coli";;"4";;;
"A04.3";"Infectio intestinalis per Escherichiam coli enterohaemorrhagicam";;;;;"Infekcija creva,uzroènik enterohemoragijska Escherichia coli";;"4";;;
"A04.4";"Infectio intestinalis per Escherichiam coli alia";;;;;"Druga infekcija creva,uzroènik Escherichia coli";;"4";;;
"A04.5";"Enteritis campylobacterialis";;;;;"Zapaljenje creva, uzroènik Campylobacter";;"4";;;
"A04.6";"Enteritis yersiniosa enterocolitica";;;;;"Zapaljenje tankog creva,uzroènik Yersinia enterocolitica";;"4";;;
"A04.7";"Enterocolitis per Clostridium difficile";;;;;"Zapaljenje creva, uzroènik Clostridium difficile";;"4";;;
"A04.8";"Infectio intestinalis bacterialis alia,specificata";;;;;"Druga oznaèena infekcija creva uzrokovana bakterijama";;"4";;;
"A04.9";"Infectio intestinalis bacterialis, non specificata";;;;;"Infekcija creva, uzrokovana  bakterijama ,neoznaèena";;"4";;;
"A05.-";"Intoxicationes alimentariae bacteriales aliae";;;;;"Druga trovanja hranom uzrokovana bakterijama";;"3";;;
"A05.0";"Intoxicatio allmentaria staphylococcica";;;;;"Trovanje hranom uzrokovano stafilokokom";;"4";;;
"A05.1";"Botulismus";;;;;"Trovanje konzervisanom hranom od mesa";;"4";;;
"A05.2";"Intoxicato ailmentaria per Clostridium perfringentem (Clostridium welchii)";;;;;"Trovanje hranom,uzroènik Clostridium perfringens (Clostridium welchii)";;"4";;;
"A05.3";"Intoxicatio alimentaria per Vibrionem parahaemolyticam";;;;;"Trovanje hranom,uzroènik Vibrio parahaemolytica";;"4";;;
"A05.4";"Intoxicatio alimentaria per Bacillum cereum";;;;;"Trovanje hranom, uzroènik Bacillus cereus";;"4";;;
"A05.8";"Intoxicationes alimentariae bacteriales aliae ,specificatae";;;;;"Druga oznaèena trovanja hranom uzrokovana bakterijama";;"4";;;
"A05.9";"Intoxicatio alimentaria bacterialis,non specificata";;;;;"Trovanje hranom uzrokovano bakterijama ,neoznaèeno";;"4";;;
"A06.-";"Amoebiasis";;;;;"Amebijaza,uzroènik patogena ameba";;"3";;;
"A06.0";"Dysenteria amoebica acuta";;;;;"Akutna dizenterija uzrokovana amebama";;"4";;;
"A06.1";"Amoebiasis intestinalis chronica";;;;;"Hronièna amebijaza creva";;"4";;;
