"(A00-B99)";"Bestimmte infektiöse und parasitäre Krankheiten";"-0T";"p";"Inkl.:   Krankheiten, die allgemein als ansteckend oder übertragbar<br>anerkannt sind";"Exkl.: Keimträger oder -ausscheider, einschließlich Verdachtsfällen<br>(Z22.-)<br>Bestimmte lokalisierte Infektionen - siehe im entsprechenden<br>Kapitel des jeweiligen Körpersystems<br>Infektiöse und parasitäre Krankheiten, die Schwangerschaft, Geburt<br>und Wochenbett komplizieren [ausgenommen Tetanus und<br>HIV-Krankheit in diesem Zeitabschnitt] (O98.-)<br>Infektiöse und parasitäre Krankheiten, die spezifisch für die<br>Perinatalperiode sind [ausgenommen Tetanus neonatorum, Syphilis<br>connata, perinatale Gonokokkeninfektion und perinatale<br>HIV-Krankheit] (P35-P39)<br>Grippe und sonstige akute Infektionen der Atemwege (J00-J22)";;"-";"0";;;
"A00-A09";"Infektiöse Darmkrankheiten";"-0G";"table";;;;"-";"0";;;
"A15-A19";"Tuberkulose";"-0G";"table";;;;"-";"0";;;
"A20-A28";"Bestimmte bakterielle Zoonosen";"-0G";"table";;;;"-";"0";;;
"A30-A49";"Sonstige bakterielle Krankheiten";"-0G";"table";;;;"-";"0";;;
"A50-A64";"Infektionen, die vorwiegend durch Geschlechtsverkehr übertragen<br>werden";"-0G";"table";;;;"-";"0";;;
"A65-A69";"Sonstige Spirochätenkrankheiten";"-0G";"table";;;;"-";"0";;;
"A70-A74";"Sonstige Krankheiten durch Chlamydien";"-0G";"table";;;;"-";"0";;;
"A75-A79";"Rickettsiosen";"-0G";"table";;;;"-";"0";;;
"A80-A89";"Virusinfektionen des Zentralnervensystems";"-0G";"table";;;;"-";"0";;;
"A90-A99";"Durch Arthropoden übertragene Viruskrankheiten und virale<br>hämorrhagische Fieber";"-0G";"table";;;;"-";"0";;;
"B00-B09";"Virusinfektionen, die durch Haut- und Schleimhautläsionen<br>gekennzeichnet sind";"-0G";"table";;;;"-";"0";;;
"B15-B19";"Virushepatitis";"-0G";"table";;;;"-";"0";;;
"B20-B24";"HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]";"-0G";"table";;;;"-";"0";;;
"B25-B34";"Sonstige Viruskrankheiten";"-0G";"table";;;;"-";"0";;;
"B35-B49";"Mykosen";"-0G";"table";;;;"-";"0";;;
"B50-B64";"Protozoenkrankheiten";"-0G";"table";;;;"-";"0";;;
"B65-B83";"Helminthosen";"-0G";"table";;;;"-";"0";;;
"B85-B89";"Pedikulose [Läusebefall], Akarinose [Milbenbefall] und sonstiger<br>Parasitenbefall der Haut";"-0G";"table";;;;"-";"0";;;
"B90-B94";"Folgezustände von infektiösen und parasitären Krankheiten";"-0G";"table";;;;"-";"0";;;
"B95-B97";"Bakterien, Viren und sonstige Infektionserreger als Ursache von<br>Krankheiten, die in anderen Kapiteln klassifiziert sind";"-0G";"table";;;;"-";"0";;;
"(A00-A09)";"Infektiöse Darmkrankheiten";"-1T";"p";;;;"-";"1";;;
"A00.-";"Cholera";"M3T";"c";;;;"M";"3";;;
"A00.0";"Cholera durch Vibrio cholerae O:1, Biovar cholerae";"N4T";"c";"Klassische Cholera";;;"N";"4";;;
"A00.1";"Cholera durch Vibrio cholerae O:1, Biovar eltor";"N4T";"c";"El-Tor-Cholera";;;"N";"4";;;
"A00.9";"Cholera, nicht näher bezeichnet";"N4T";"c";;;;"N";"4";;;
"A01.-";"Typhus abdominalis und Paratyphus";"M3T";"c";;;;"M";"3";;;
"A01.0";"Typhus abdominalis";"N4T";"c";"Infektion durch Salmonella typhi<br>Typhoides Fieber";;;"N";"4";;;
"A01.1";"Paratyphus A";"N4T";"c";;;;"N";"4";;;
"A01.2";"Paratyphus B";"N4T";"c";;;;"N";"4";;;
"A01.3";"Paratyphus C";"N4T";"c";;;;"N";"4";;;
"A01.4";"Paratyphus, nicht näher bezeichnet";"N4T";"c";"Infektion durch Salmonella paratyphi o.n.A.";;;"N";"4";;;
"A02.-";"Sonstige Salmonelleninfektionen";"M3T";"c";"Inkl.:   Infektion oder Lebensmittelvergiftung durch Salmonellen<br>außer durch Salmonella typhi und Salmonella paratyphi";;;"M";"3";;;
"A02.0";"Salmonellenenteritis";"M4T";"c";"Enteritis infectiosa durch Salmonellen";;;"M";"4";;;
"A02.1";"Salmonellensepsis";"N4T";"c";;;;"N";"4";;;
"A02.2+";"Lokalisierte Salmonelleninfektionen";"N4T";"c";"Arthritis (M01.3*)                            } durch Salmonellen<br>Meningitis (G01*)                             }<br>Osteomyelitis (M90.2*)                        }<br>Pneumonie (J17.0*)                            }<br>Tubulointerstitielle Nierenkrankheit (N16.0*) }";;;"N";"4";;;
"A02.8";"Sonstige näher bezeichnete Salmonelleninfektionen";"N4T";"c";;;;"N";"4";;;
"A02.9";"Salmonelleninfektion, nicht näher bezeichnet";"N4T";"c";;;;"N";"4";;;
"A03.-";"Shigellose [Bakterielle Ruhr]";"M3T";"c";;;;"M";"3";;;
"A03.0";"Shigellose durch Shigella dysenteriae";"N4T";"c";"Shigellose durch Shigellen der Gruppe A [Shiga-Kruse-Ruhr]";;;"N";"4";;;
"A03.1";"Shigellose durch Shigella flexneri";"N4T";"c";"Shigellose durch Shigellen der Gruppe B";;;"N";"4";;;
"A03.2";"Shigellose durch Shigella boydii";"N4T";"c";"Shigellose durch Shigellen der Gruppe C";;;"N";"4";;;
"A03.3";"Shigellose durch Shigella sonnei";"N4T";"c";"Shigellose durch Shigellen der Gruppe D";;;"N";"4";;;
"A03.8";"Sonstige Shigellosen";"N4T";"c";;;;"N";"4";;;
"A03.9";"Shigellose, nicht näher bezeichnet";"N4T";"c";"Bakterielle Ruhr [Bakterielle Dysenterie] o.n.A.";;;"N";"4";;;
"A04.-";"Sonstige bakterielle Darminfektionen";"M3T";"c";;"Exkl.: Bakteriell bedingte Lebensmittelvergiftungen (A05.-)<br>Tuberkulöse Enteritis (A18.3)";;"M";"3";;;
"A04.0";"Darminfektion durch enteropathogene Escherichia coli";"N4T";"c";;;;"N";"4";;;
"A04.1";"Darminfektion durch enterotoxinbildende Escherichia coli";"N4T";"c";;;;"N";"4";;;
"A04.2";"Darminfektion durch enteroinvasive Escherichia coli";"N4T";"c";;;;"N";"4";;;
"A04.3";"Darminfektion durch enterohämorrhagische Escherichia coli";"N4T";"c";;;;"N";"4";;;
"A04.4";"Sonstige Darminfektionen durch Escherichia coli";"M4T";"c";"Enteritis durch Escherichia coli o.n.A.";;;"M";"4";;;
"A04.5";"Enteritis durch Campylobacter";"N4T";"c";;;;"N";"4";;;
"A04.6";"Enteritis durch Yersinia enterocolitica";"N4T";"c";;"Exkl.: Extraintestinale Yersiniose (A28.2)";;"N";"4";;;
