"A00";"Kolera";;;;;;;"3";;;
"A00.0";"Kolera, Vibrio cholorea 01, biovar koleraya bagli";;;;;;;"4";;;
"A00.1";"Kolera, Vibrio cholerae 01, biovar eltora bagli";;;;;;;"4";;;
"A00.9";"Kolera, tanimlanmamis";;;;;;;"4";;;
"A01";"Tifo ve paratifo";;;;;;;"3";;;
"A01.0";"Tifo Salmonella typhiye bagli enfeksiyon";;;;;;;"4";;;
"A01.1";"Paratifo A";;;;;;;"4";;;
"A01.2";"Paratifo B";;;;;;;"4";;;
"A01.3";"Paratifo C";;;;;;;"4";;;
"A01.4";"Paratifo, tanimlanmamis Salmonella paratyphiye bagli enfeksiyon BST";;;;;;;"4";;;
"A02";"Salmonella enfeksiyonlari, diger";;;;;;;"3";;;
"A02.0";"Salmonella enteriti";;;;;;;"4";;;
"A02.1";"Salmonella septisemisi";;;;;;;"4";;;
"A02.2";"Salmonella enfeksiyonlari, lokalize";;;;;;;"4";;;
"A02.8";"Salmonella enfeksiyonlari, diger tanimlanmis";;;;;;;"4";;;
"A02.9";"Salmonella enfeksiyonu, tanimlanmamis";;;;;;;"4";;;
"A03";"Sigelloz";;;;;;;"3";;;
"A03.0";"Sigelloz, Shigella dysenteriaeye bagli";;;;;;;"4";;;
"A03.1";"Sigelloz, Shigella flexneriye bagli";;;;;;;"4";;;
"A03.2";"Sigelloz, Shigella boydiiye bagli";;;;;;;"4";;;
"A03.3";"Sigelloz, Shigella sonneiye bagli";;;;;;;"4";;;
"A03.8";"Sigellozlar, diger";;;;;;;"4";;;
"A03.9";"Sigelloz, tanimlanmamis";;;;;;;"4";;;
"A04";"Bakteriyel barsak enfeksiyonlari, diger";;;;;;;"3";;;
"A04.0";"Enteropatojenik Escherichia coli enfeksiyonu";;;;;;;"4";;;
"A04.1";"Enterotoksijenik Escherichia coli enfeksiyonu";;;;;;;"4";;;
"A04.2";"Enteroinvaziv Escherichia coli enfeksiyonu";;;;;;;"4";;;
"A04.3";"Enterohemorajik Escherichia coli enfeksiyonu";;;;;;;"4";;;
"A04.4";"Barsak Escherichia coli enfeksiyonlari, diger";;;;;;;"4";;;
"A04.5";"Kampilobakter enteriti";;;;;;;"4";;;
"A04.6";"Yersinia enterocoliticaya bagli enterit";;;;;;;"4";;;
"A04.7";"Clostridium difficileye bagli enterokolit Clostridium difficileye bagli gida zehirlenmesi";;;;;;;"4";;;
"A04.8";"Bakteriyel Barsak enfeksiyonlari, diger tanimlanmis";;;;;;;"4";;;
"A04.9";"Bakteriyel barsak enfeksiyonu, tanimlanmamis";;;;;;;"4";;;
"A05";"Bakteriyel gida zehirlenmeleri, diger, baska yerde siniflanmamis";;;;;;;"3";;;
"A05.0";"Gida kökenli stafilokok zehirlenmesi";;;;;;;"4";;;
"A05.1";"Botulizm";;;;;;;"4";;;
"A05.2";"Gida kökenli Clostridium perfringens [Clostridium welchii] zehirlenmesi";;;;;;;"4";;;
"A05.3";"Gida kökenli Vibrio parahaemolyticus zehirlenmesi";;;;;;;"4";;;
"A05.4";"Gida kökenli Bacillus cereus zehirlenmesi";;;;;;;"4";;;
"A05.8";"Gida zehirlenmeleri, diger tanimlanmis";;;;;;;"4";;;
"A05.9";"Bakteriyel gida zehirlenmesi, tanimlanmamis";;;;;;;"4";;;
"A06";"Amebiyaz";;;;;;;"3";;;
"A06.0";"Akut amipli dizanteri";;;;;;;"4";;;
"A06.1";"Kronik barsak amebiyazi";;;;;;;"4";;;
"A06.2";"Dizanterik olmayan amipli kolit";;;;;;;"4";;;
"A06.3";"Ameboma, bagirsakta";;;;;;;"4";;;
"A06.4";"Amipli karaciger apsesi";;;;;;;"4";;;
"A06.5?";"Amipli akciger apsesi (J99.8*)";;;;;;;"4";;;
"A06.6?";"Amipli beyin apsesi (G07*)";;;;;;;"4";;;
"A06.7";"Kutanöz amebiyaz";;;;;;;"4";;;
"A06.8";"Amip enfeksiyonu, baska bölgelerin";;;;;;;"4";;;
"A06.9";"Amebiyaz, tanimlanmamis";;;;;;;"4";;;
"A07";"Protozoal diger barsak hastaliklari";;;;;;;"3";;;
"A07.0";"Balantidiyaz";;;;;;;"4";;;
"A07.1";"Giardiaz [lambliaz]";;;;;;;"4";;;
"A07.2";"Kriptosporidiyoz";;;;;;;"4";;;
"A07.3";"Izosporiyaz";;;;;;;"4";;;
"A07.8";"Barsagin protozoal diger tanimlanmis hastaliklari";;;;;;;"4";;;
"A07.9";"Barsagin protozoal hastaligi, tanimlanmamis";;;;;;;"4";;;
"A08";"Viral ve diger tanimlanmis barsak enfeksiyonlari";;;;;;;"3";;;
"A08.0";"Rota virüs enteriti";;;;;;;"4";;;
"A08.1";"Norwalk ajanina bagli akut gastroenteropati";;;;;;;"4";;;
"A08.2";"Adenovirüs enteriti";;;;;;;"4";;;
"A08.3";"Viral enteritler, diger";;;;;;;"4";;;
"A08.4";"Viral barsak enfeksiyonu, tanimlanmamis";;;;;;;"4";;;
"A08.5";"Barsak enfeksiyonlari diger, tanimlanmis";;;;;;;"4";;;
"A09";"Diyare ve gastroenterit, enfeksiyöz kaynakli oldugu tahmin edilen";;;;;;;"3";;;
"A15";"Solunum yollari tüberkülozu, bakteriyolojik ve histolojik olarak kanitlanmis";;;;;;;"3";;;
"A15.0";"Akciger tüberkülozu, kültürlü ya da kültürsüz balgam mikroskopisi ile kanitlanmis";;;;;;;"4";;;
"A15.1";"Akciger tüberkülozu, sadece kültürle kanitlanmis";;;;;;;"4";;;
"A15.2";"Akciger tüberkülozu, histolojik olarak kanitlanmis";;;;;;;"4";;;
"A15.3";"Akciger tüberkülozu, tanimlanmamis yolla kanitlanmis";;;;;;;"4";;;
"A15.4";"Intratorasik lenf nodu tüberkülozu, bakteriyolojik ve histolojik olarak kanitlanmis";;;;;;;"4";;;
"A15.5";"Larinks, trakea ve brons tüberkülozu, bakteriyolojik ve histolojik olarak kanitlanmis";;;;;;;"4";;;
"A15.6";"Tüberküloz plörezi, bakteriyolojik ve histolojik olarak kanitlanmis";;;;;;;"4";;;
"A15.7";"Primer solunum yollari tüberkülozu, bakteriyolojik ve histolojik olarak kanitlanmis";;;;;;;"4";;;
"A15.8";"Solunum yollari diger tüberkülozu, bakteriyolojik ve histolojik olarak kanitlanmis";;;;;;;"4";;;
"A15.9";"Solunum yollari tüberkülozu tanimlanmamis, bakteriyolojik ve histolojik olarak kanitlanmis";;;;;;;"4";;;
"A16";"Solunum yollari tüberkülozu, bakteriyolojik ve histolojik olarak kanitlanmamis";;;;;;;"3";;;
"A16.0";"Akciger tüberkülozu, bakteriyolojik ve histolojik olarak negatif";;;;;;;"4";;;
"A16.1";"Akciger tüberkülozu, bakteriyolojik ve histolojik inceleme yapilmamis";;;;;;;"4";;;
"A16.2";"Akciger tüberkülozu, bakteriyolojik ya da histolojik kanit hakkinda bilgi verilmemis";;;;;;;"4";;;
"A16.3";"Intratorasik lenf nodlari tüberkülozu, bakteriyolojik ya da histolojik tani konulmamis";;;;;;;"4";;;
"A16.4";"Larinks, trakea ve brons tüberkülozu, bakteriyolojik ya da histolojik tani konulmamis";;;;;;;"4";;;
"A16.5";"Tüberküloz plörezi, bakteriyolojik ya da histolojik tani konulmamis";;;;;;;"4";;;
"A16.7";"Primer solunum yollari tüberkülozu, bakteriyolojik ya da histolojik tani konulmamis";;;;;;;"4";;;
"A16.8";"Primer solunum yollari diger tüberkülozu, bakteriyolojik ya da histolojik tani konulmamis";;;;;;;"4";;;
"A16.9";"Solunum yollari tüberkülozu, bakteriyolojik ya da histolojik tani konulmamis";;;;;;;"4";;;
"A17?";"Sinir sistemi tüberkülozu";;;;;;;"4";;;
"A17.0?";"Tüberküloz menenjit (G01*)";;;;;;;"4";;;
"A17.1?";"Menenjial tüberkülom (G07*)";;;;;;;"4";;;
"A17.8?";"Sinir sisteminin tüberkülozu, diger";;;;;;;"4";;;
"A17.9?";"Sinir sistemi tüberkülozu, tanimlanmamis (G99.8*)";;;;;;;"4";;;
"A18";"Organlarin tüberkülozu, diger";;;;;;;"3";;;
"A18.0?";"Kemik ve eklem tüberkülozu";;;;;;;"4";;;
"A18.1";"Ürogenital sistem tüberkülozu";;;;;;;"4";;;
"A18.2";"Tüberküloz periferik lenfadenopati";;;;;;;"4";;;
"A18.3";"Bagirsak, periton ve mezenterik lenf bezi tüberkülozu";;;;;;;"4";;;
