"1-10";"Klinische Untersuchung";;;;"B";"2";
"1-100";"Klinische Untersuchung in Allgemeinanästhesie";;;"Hinweis:  Die Allgemeinanästhesie ist im Kode enthalten<br>Dieser Kode ist nur dann zu verwenden, wenn die Untersuchung unter Anästhesie als selbständige Maßnahme durchgeführt wird. Erfolgt in der gleichen Sitzung ein invasiver oder operativer Eingriff, der eine Anästhesie erfordert, ist die Untersuchung nicht gesondert zu kodieren.";"B";"3";
"1-20...1-33";"Untersuchung einzelner Körpersysteme";;;"Hinweis:  Das Anästhesieverfahren bei einer diagnostischen Maßnahme kann zusätzlich kodiert werden, sofern die diagnostische Maßnahme üblicherweise ohne Allgemeinanästhesie durchgeführt wird (8-90)";"B";"1";
"1-20";"Neurologische Untersuchungen";;;"Hinweis:  Das neurologische Monitoring ist gesondert zu kodieren  (8-92)";"B";"2";
"1-202";"Feststellung des Hirntodes";;;;"B";"3";
"1-203";"Invasive Funktionsdiagnostik des Nervensystems";;"Exkl.:    Invasive präoperative Video-EEG-Intensivdiagnostik bei Epilepsie (1-211)";"Hinweis:  Der Zugang ist gesondert zu kodieren (5-010, 5-011)";"B";"3";
"1-203.0";": Mit Stimulationselektroden, zerebral";;;;"B";"4";
"1-203.1";": Mit Stimulationselektroden, spinal";;;;"B";"4";
"1-203.2";": Mit pharmakologischer Testung";;;;"B";"4";
"1-203.x";": Sonstige";;;;"B";"4";
"1-203.y";": N.n.bez.";;;;"B";"4";
"1-204";"Untersuchung des Liquorsystems";;;;"B";"3";
"1-204.0";": Messung des Hirndruckes";;;;"B";"4";
"1-204.1";": Messung des lumbalen Liquordruckes";;;;"B";"4";
"1-204.2";": Lumbale Liquorpunktion zur Liquorentnahme";;;;"B";"4";
"1-204.3";": Subokzipitale Liquorpunktion zur Liquorentnahme";;;;"B";"4";
"1-204.4";": Fontanellenpunktion zur Liquorentnahme";;;;"B";"4";
"1-204.5";": Liquorentnahme aus einem liegenden Katheter";;;;"B";"4";
"1-204.6";": Infusionstest";;;;"B";"4";
"1-204.7";": Pharmakologischer Test";;;;"B";"4";
"1-204.x";": Sonstige";;;;"B";"4";
"1-204.y";": N.n.bez.";;;;"B";"4";
"1-205";"Elektromyographie (EMG)";;;;"B";"3";
"1-206";"Neurographie";;;;"B";"3";
"1-207";"Elektroenzephalographie (EEG)";;;;"B";"3";
"1-207.0";": Routine-EEG (10/20 Elektroden)";"Inkl.:    Provokationsmethoden";;;"B";"4";
"1-207.1";": Schlaf-EEG (10/20 Elektroden)";;;;"B";"4";
"1-207.2";": Video-EEG (10/20 Elektroden)";;"Exkl.:    Video-EEG im Rahmen der präoperativen und  intraoperativen Epilepsiediagnostik (1-210 ff.)";"Hinweis:  Dauer mindestens 24 Stunden";"B";"4";
"1-207.3";": Mobiles Kassetten-EEG (10/20 Elektroden)";;;"Hinweis:  Dauer mindestens 4 Stunden";"B";"4";
"1-207.x";": Sonstige";;;;"B";"4";
"1-207.y";": N.n.bez.";;;;"B";"4";
"1-208";"Registrierung evozierter Potentiale";;;;"B";"3";
"1-208.0";": Akustisch (AEP)";;;;"B";"4";
"1-208.1";": Früh-akustisch (FAEP/BERA)";;;;"B";"4";
"1-208.2";": Somatosensorisch (SSEP)";;;;"B";"4";
"1-208.3";": Früh-somatosensorisch (FSSEP)";;;;"B";"4";
"1-208.4";": Motorisch";;;;"B";"4";
"1-208.5";": Spät-akustisch (CERA)";;;;"B";"4";
"1-208.6";": Visuell (VEP)";;;;"B";"4";
"1-208.7";": Kognitiv";;;;"B";"4";
"1-208.8";": Otoakustische Emissionen";;;;"B";"4";
"1-208.x";": Sonstige";;;;"B";"4";
"1-208.y";": N.n.bez.";;;;"B";"4";
"1-21";"Epilepsiediagnostik";;;;"B";"2";
"1-210";"Nichtinvasive präoperative Video-EEG-Intensivdiagnostik bei Epilepsie";;;"Hinweis:  Dieser Kode umfaßt:<br>das Anbringen von dichtgesetzten Oberflächenelektroden und das ggf. durchgeführte Einbringen von Sphenoidalelektroden,<br>das Video-EEG-Intensivmonitoring für i.d.R. mindestens 3 Tage,<br>die Begleitung, Dokumentation und Auswertung (Medizin, MTA, Medizintechnik, Medizinphysik),<br>die psychosoziale Betreuung des Patienten während des diagnostischen Prozesses<br>Für die Durchführung gelten die Qualitätsstandards der Arbeitsgemeinschaft für präoperative Epilepsiediagnostik und operative Epilepsietherapie";"B";"3";
