"1-10";"Clinical investigation";;;;"B";"2";
"1-100";"Clinical examination under general";;;"Note: The general anesthesia is included in the code <br> This code should be used only if the examination is performed under anesthesia as a separate measure. If in the same session, or to invasive surgical procedure that requires anesthesia, is to encode the study separately.";"B";"3";
"1-20...1-33";"investigation of individual body systems";;;"Note: The anesthesia procedure in a diagnostic measure may be encoded in addition, provided that the diagnostic procedure is usually performed without general anesthesia (80-90)";"B";"1";
"10-20";"Neurological examinations";;;"Note: The neurological monitoring is to code separately (8-92)";"B";"2";
"1-202";"Determination of brain death";;;;"B";"3";
"1-203";"Invasive diagnostic function of the nervous system";;"Excl.: Preoperative invasive video- Intensivdiagnostik EEG in epilepsy (1-211)";"Note: The access is to encode separately (5-010, 5-011)";"B";"3";
"1-203.0";": with stimulation electrodes, cerebral";;;;"B";"4";
"1-203.1";": with stimulation electrodes, spinal";;;;"B";"4";
"1-203.2";": with pharmacological testing";;;;"B";"4";
"1-203.x";"Other";;;;"B";"4";
"1-203.y";"N.n.bez.";;;;"B";"4";
"1-204";"Investigation of Liquorsystems";;;;"B";"3";
"1-204.0";"the cerebral pressure measurement";;;;"B";"4";
"1-204.1";": measurement of lumbar cerebrospinal fluid pressure";;;;"B";"4";
"1-204.2";"Lumbar spinal tap for CSF,";;;;"B";"4";
"1-204.3";": Lumbar puncture for CSF, suboccipital";;;;"B";"4";
"1-204.4";"Fontanelles puncture to CSF,";;;;"B";"4";
"1-204.5";": CSF, a catheter lying";;;;"B";"4";
"1-204.6";": Infusion Test";;;;"B";"4";
"1-204.7";": Pharmacological test";;;;"B";"4";
"1-204.x";"Other";;;;"B";"4";
"1-204.y";"N.n.bez.";;;;"B";"4";
"1-205";"Electromyography (EMG)";;;;"B";"3";
"1-206";"Neurography";;;;"B";"3";
"1-207";"Eelectroencephalography (EEG)";;;;"B";"3";
"1-207.0";": routine EEG (10/20 electrodes)";"Incl.: provocation methods";;;"B";"4";
"1-207.1";": sleep EEG (10/20 electrodes)";;;;"B";"4";
"1-207.2";": Video-EEG (10/20 electrodes)";;"Excl.: Video-EEG in the preoperative and intraoperative diagnosis epilepsy (1-210 ff)";"Note: duration of at least 24 hours";"B";"4";
"1-207.3";": Portable cassette-EEG (10/20 electrodes)";;;"Note: at least 4 hours duration";"B";"4";
"1-207.x";"Other";;;;"B";"4";
"1-207.y";"N.n.bez.";;;;"B";"4";
"1-208";"Registration of evoked potentials";;;;"B";"3";
"1-208.0";": Acoustic (AEP)";;;;"B";"4";
"1-208.1";": Early-acoustic (ABR/ABR)";;;;"B";"4";
"1-208.2";": Somatosensory (SSEP)";;;;"B";"4";
"1-208.3";": Early somatosensory (FSSEP)";;;;"B";"4";
