"01.01.00";"PUNTURA DELLE CISTERNE";"";"";"";"";"4";""
"01.02.00";"PUNTURA VENTRICOLARE MEDIANTE CATETERE GIA IMPIANTATO";"";"";"";"";"4";""
"01.09.00";"ALTRA PUNTURA DEL CRANIO";"";"";"";"";"4";""
"01.11.00";"PROCEDURE DIAGNOSTICHE SUL CRANIO, SUL CERVELLO E SULLE MENINGI CEREBRALI";"";"";"";"";"3";""
"01.12.00";"BIOPSIA (PERCUTANEA) (AGOBIOPSIA) DELLE MENINGI CEREBRALI";"";"";"";"";"4";""
"01.13.00";"BIOPSIA A CIELO APERTO DELLE MENINGI CEREBRALI";"";"";"";"";"4";""
"01.14.00";"BIOPSIA (PERCUTANEA) (AGOBIOPSIA) DI LESIONE CEREBRALE";"";"";"";"";"4";""
"01.15.00";"BIOPSIA A CIELO APERTO DI LESIONE CEREBRALE";"";"";"";"";"4";""
"01.18.00";"BIOPSIA DELLE OSSA CRANICHE";"";"";"";"";"4";""
"01.19.00";"ALTRE PROCEDURE DIAGNOSTICHE SUL CERVELLO E SULLE MENINGI CEREBRALI";"";"";"";"";"4";""
"01.21.00";"ALTRE PROCEDURE DIAGNOSTICHE SUL CRANIO";"";"";"";"";"4";""
"01.22.00";"CRANIOTOMIA E CRANIECTOMIA";"";"";"";"";"3";""
"01.23.00";"INCISIONE E DRENAGGIO DEI SENI CRANICI";"";"";"";"";"4";""
"01.24.00";"RIMOZIONE DI NEUROSTIMOLATORE INTRACRANICO";"";"";"";"";"4";""
"01.25.00";"RIAPERTURA DI PREGRESSA CRANIOTOMIA";"";"";"";"";"4";""
"01.31.00";"ALTRA CRANIOTOMIA";"";"";"";"";"4";""
"01.32.00";"ALTRA CRANIECTOMIA";"";"";"";"";"4";""
"01.39.00";"INCISIONE CEREBRALE E DELLE MENINGI";"";"";"";"";"3";""
"01.41.00";"INCISIONE DELLE MENINGI CEREBRALI";"";"";"";"";"4";""
"01.42.00";"LOBOTOMIA E TRATTOTOMIA";"";"";"";"";"4";""
"01.51.00";"ALTRE INCISIONI CEREBRALI";"";"";"";"";"4";""
"01.52.00";"INTERVENTI SUL TALAMO E SUL GLOBO PALLIDO";"";"";"";"";"3";""
"01.53.00";"INTERVENTI SUL TALAMO";"";"";"";"";"4";""
"01.59.00";"INTERVENTI SUL GLOBO PALLIDO";"";"";"";"";"4";""
"02.00.00";"ALTRE ASPORTAZIONI O ALTRI INTERVENTI DI DEMOLIZIONE SUL CERVELLO E SULLE MENINGI CEREBRALI";"";"";"";"";"3";""
"02.01.00";"ASPORTAZIONE DI LESIONE O DI TESSUTO DELLE MENINGI CEREBRALI";"";"";"";"";"4";""
"02.02.00";"EMISFERECTOMIA";"";"";"";"";"4";""
"02.03.00";"LOBECTOMIA CEREBRALE (PER LESIONE ORGANICA)";"";"";"";"";"4";""
"02.04.00";"ALTRA ASPORTAZIONE O DEMOLIZIONE DI LESIONE O TESSUTO CEREBRALE";"";"";"";"";"4";""
"02.05.00";"ASPORTAZIONE DI LESIONI DEL CRANIO";"";"";"";"";"4";""
"02.06.00";"CRANIOPLASTICA";"";"";"";"";"3";""
"02.07.00";"APERTURA DI SUTURE DEL CRANIO";"";"";"";"";"4";""
"02.11.00";"RIPOSIZIONAMENTO DI FRAMMENTI DI FRATTURA AFFOSSATA DEL CRANIO";"";"";"";"";"4";""
"02.12.00";"FORMAZIONE DI LEMBI CRANICI";"";"";"";"";"4";""
"02.13.00";"INNESTO OSSEO SUL CRANIO";"";"";"";"";"4";""
"02.14.00";"INSERZIONE DI PLACCA CRANICA SOSTITUZIONE DI PLACCA DEL CRANIO";"";"";"";"";"4";""
"02.20.00";"ALTRI TIPI DI OSTEOPLASTICA DEL CRANIO";"";"";"";"";"4";""
"02.31.00";"RIMOZIONE DI PLACCA DEL CRANIO";"";"";"";"";"4";""
"02.32.00";"TRATTAMENTO DI LESIONE DELLE MENINGI CEREBRALI";"";"";"";"";"3";""
"02.33.00";"SUTURA SEMPLICE DELLA DURA MADRE";"";"";"";"";"4";""
